OpportunityId,opp_estimated_close_date,IsWon,CreatedDate,last__fc,n__fc,mean_n_owner_included__fc,mean_duration_in__fc,mean_duration_out__fc,mean_n_recipients__fc,mean_n_to__fc,last__tc,n__tc,mean_n_owner_included__tc,mean_duration_in__tc,mean_duration_out__tc,mean_n_recipients__tc,mean_n_to__tc,last__fo,n__fo,mean_n_owner_included__fo,mean_duration_in__fo,mean_duration_out__fo,mean_n_recipients__fo,mean_n_to__fo,first_created_date,CreatedDate__fq,opp_estimated_close_date__fq,target
0061300001ADuHtAAL,2022-08-29,False,2021-02-21 20:53:45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-02-22 20:53:45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-02-23 20:53:45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-02-24 20:53:45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-02-25 20:53:45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-02-26 20:53:45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-02-27 20:53:45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-02-28 20:53:45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-01 20:53:45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-02 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-03 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-04 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-05 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-06 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-07 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-08 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-09 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-10 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-11 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-12 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-13 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-14 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-15 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-16 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-17 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-18 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-19 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-20 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-21 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-22 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
0061300001ADuHtAAL,2022-08-29,False,2021-03-23 20:53:45,2021-03-01 21:50:11,1.0,0.0,273.0,1707.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-21 20:53:45,2021Q3,2023Q1,False
