,n__fc__x,n__tc__x,n__fc__rw7,n__tc__rw7,n__fc__rw30,n__tc__rw30,n__fc__rw90,n__tc__rw90,duration_in__fc__rw7,target
70,-0.32435348190568236,0.48228691938787427,-1.0,-0.5816621873485768,-1.0,-0.44686059968038205,-0.7878268803130803,0.005240221791025013,-1.0,False
71,-0.32435348190568236,0.48228691938787427,-1.0,-1.0,-1.0,-0.5031456303010358,-1.0,-0.12797767695329476,-1.0,False
72,-0.32435348190568236,0.4795795081853049,-1.0,-0.7360582269542151,-1.0,-0.399272284360778,-0.7878268803130803,0.13682969567820824,-1.0,False
73,-0.32435348190568236,0.4795795081853049,-1.0,-0.5816621873485768,-1.0,-0.399272284360778,-0.7878268803130803,0.13682969567820824,-1.0,False
74,-0.32435348190568236,0.46915776459162184,-1.0,-0.387146181750608,-0.7523776572625627,0.049993770018582184,-0.7878268803130803,0.2552493782979841,-1.0,False
75,-0.32435348190568236,0.4802591099513729,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.0894035666004489,-1.0,False
76,-0.32435348190568236,0.4740752625046418,-1.0,-0.47211645390843004,-0.7523776572625627,0.01746761154182863,-0.7878268803130803,0.27436876692640055,-1.0,False
77,-0.32435348190568236,0.4775295668856714,-1.0,-0.5816621873485768,-1.0,-0.20816684727905166,-0.7878268803130803,0.23772925060223882,-1.0,False
78,-0.32435348190568236,0.47889805716045175,-1.0,-0.7360582269542151,-1.0,-0.3580494105829748,-0.7878268803130803,0.1883046510508093,-1.0,False
79,-0.32435348190568236,0.48228691938787427,-1.0,-0.47211645390843004,-1.0,-0.399272284360778,-0.7878268803130803,0.012187144313886566,-1.0,False
80,-0.32435348190568236,0.471277098230918,-1.0,-0.31772041430279185,-0.7523776572625627,0.060116413846835526,-0.7878268803130803,0.25806364689743755,-1.0,False
81,-0.32435348190568236,0.47615355739582665,-1.0,-0.7360582269542151,-1.0,-0.1253502732797186,-0.7878268803130803,0.28217181739208375,-1.0,False
82,-0.32435348190568236,0.4802591099513729,-1.0,-1.0,-1.0,-0.5031456303010358,-0.7878268803130803,0.06221413441038526,-1.0,False
83,-0.32435348190568236,0.4663037952758935,-0.6818023842614117,-0.08691148484622191,-0.7523776572625627,0.10627880063923589,-0.7878268803130803,0.24369445907940546,-0.045565053719718085,False
84,-0.32435348190568236,0.47821474678534104,-1.0,-0.7360582269542151,-1.0,-0.3216882589721143,-0.7878268803130803,0.1883046510508093,-1.0,False
85,-0.32435348190568236,0.48228691938787427,-1.0,-0.5816621873485768,-1.0,-0.44686059968038205,-0.7878268803130803,-0.016722599361310153,-1.0,False
86,-0.32435348190568236,0.4795795081853049,-1.0,-0.7360582269542151,-1.0,-0.44686059968038205,-0.7878268803130803,0.13682969567820824,-1.0,False
87,-0.32435348190568236,0.47889805716045175,-1.0,-0.7360582269542151,-1.0,-0.3580494105829748,-0.7878268803130803,0.1883046510508093,-1.0,False
88,-0.32435348190568236,0.4802591099513729,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.09956727606026172,-1.0,False
89,-0.32435348190568236,0.4775295668856714,-1.0,-1.0,-1.0,-0.20816684727905166,-0.7878268803130803,0.23772925060223882,-1.0,False
90,-0.32435348190568236,0.46915776459162184,-1.0,-0.387146181750608,-0.7523776572625627,0.08863325652595644,-0.7878268803130803,0.24953273854629532,-1.0,False
91,-0.32435348190568236,0.4775295668856714,-1.0,-0.5816621873485768,-1.0,-0.16398975978709285,-0.7878268803130803,0.23772925060223882,-1.0,False
