,current_duration,n__fc__rw7,n__tc__rw7,n__fc__rw30,n__me__rw30,target,dummy_pred,dummy_proba,svc_proba,svc_pred,lgbm_proba,lgbm_pred
19286,0.8509224478292647,0.6265530129094792,0.6298209807792469,0.6640398642650249,0.6666666666666667,1,0,0.0,0.5125146675228314,1,0.9721536073993414,1
19287,0.8098373512409965,0.0,0.3333333333333333,0.3581044635020828,0.6666666666666667,1,1,1.0,0.3293171738483046,1,0.9639566519816788,1
19288,0.6288795356546981,0.0,0.0,0.0,0.0,1,0,0.0,0.055107413764471,0,0.3653080303859614,0
19289,0.990699782330799,0.6727314726527261,0.7608558306376875,0.7421440931644006,0.8616541669070521,1,1,1.0,0.5789885243978581,1,0.9890171193404831,1
19290,0.3929274197509547,0.0,0.30100413332717657,0.0,0.0,1,0,0.0,0.1220140976331132,1,0.5826015245340672,1
19291,0.252662940408771,0.0,0.0,0.0,0.0,1,0,0.0,0.19046653521681686,1,0.7710784202011014,1
19292,0.5339482341767938,0.0,0.0,0.0,0.0,1,0,0.0,0.0807466098015176,0,0.5736839852640296,1
19293,0.8311180177637251,0.5796618766207391,0.6986344247631283,0.46284330474687596,0.33333333333333337,1,0,0.0,0.29651172260271413,1,0.9073849435034602,1
19294,0.8559738257417316,0.0,0.42061983571430495,0.6553517946873256,0.5283208335737187,1,0,0.0,0.4627255689032496,1,0.9492000663687913,1
19295,0.7004720717689669,0.2242438242175754,0.3333333333333333,0.28379107299583456,0.0,1,0,0.0,0.13443957126791378,1,0.9099467400103878,1
19296,0.3981113845007547,0.4484876484351508,0.5558744879883714,0.415746407355026,0.0,1,0,0.0,0.37478901169103584,1,0.7934395891790055,1
19297,0.610261139821543,0.0,0.0,0.0,0.0,1,0,0.0,0.060350287155421324,0,0.40852437013609966,0
19298,0.852169757154178,0.6227136751563146,0.6283919890166507,0.6659316677593714,0.6666666666666667,1,0,0.0,0.5130671948387101,1,0.9759229045744965,1
19299,0.4447813791287966,0.0,0.0,0.0,0.0,1,0,0.0,0.11280617704869386,1,0.6457884433182222,1
19300,0.17246928824007043,0.0,0.0,0.0,0.0,1,0,0.0,0.2203836444779802,1,0.6813191650186559,1
19301,0.9810345125545533,0.10241496259498575,0.3731981720087598,0.8416242217443985,0.6666666666666667,1,0,0.0,0.4806478594210549,1,0.9897043350472339,1
19302,0.6066052809601588,0.8876054674267377,0.8171633065393138,0.7787590411134098,0.6666666666666667,1,0,0.0,0.6092647244066756,1,0.9526910192003906,1
19303,0.41430115424549674,0.0,0.0,0.0,0.0,1,0,0.0,0.12474860738164174,1,0.6980961105112484,1
19304,0.38851568240723316,0.35541805240316365,0.42061983571430495,0.28379107299583456,0.33333333333333337,1,0,0.0,0.5,1,0.7535661483291175,1
19305,0.6663430365664798,0.7614987157450599,0.763087614564008,0.7493620411667212,0.33333333333333337,1,0,0.0,0.43948368994076387,1,0.9563333020956198,1
19306,0.6107083042087234,0.0,0.0,0.0,0.0,1,0,0.0,0.06022061407655106,0,0.40852437013609966,0
19307,0.809756050196092,0.0,0.3333333333333333,0.3581044635020828,0.6666666666666667,1,0,0.0,0.3293852793014591,1,0.9639566519816788,1
19308,0.43526402211180926,0.0,0.0,0.0,0.0,1,1,1.0,0.11649285104072533,1,0.6531533520401099,1
19309,0.3773799537499075,0.0,0.12523157057818404,0.0,0.33333333333333337,1,0,0.0,0.20377010837364362,1,0.7915979651324003,1
19310,0.3264480165838569,0.0,0.0,0.0,0.0,1,0,0.0,0.1605669652582684,1,0.6855116052496599,1
19311,0.5551711105654091,0.0,0.21030991785715247,0.43203346975135115,0.33333333333333337,1,0,0.0,0.38877215370433676,1,0.9335280114824759,1
19312,0.980117637590514,0.2242438242175754,0.45247897034462503,0.8600593491865357,0.6666666666666667,1,0,0.0,0.5118796821841154,1,0.9863102177460427,1
19313,0.46099169957764263,0.0,0.0,0.46284330474687596,0.0,1,0,0.0,0.2878936782180773,1,0.9379900820491681,1
19314,0.5415874782653792,0.0,0.0,0.0,0.0,1,0,0.0,0.07824634543361612,0,0.5529154641701806,1
19315,0.3449385764801409,0.0,0.0,0.0,0.0,1,0,0.0,0.15295265296128455,1,0.6548751153964785,1
19316,0.4811795115032572,0.0,0.0,0.46284330474687596,0.0,1,0,0.0,0.27329739143844944,1,0.938543678336133,1
19317,0.38407278051964083,0.6352984586840483,0.5436432511904858,0.5675821459916692,0.33333333333333337,1,1,1.0,0.5748778908099825,1,0.8536062079502545,1
19318,0.65125999153881,0.0,0.0,0.0,0.0,1,0,0.0,0.04922928739777483,0,0.4408761703194464,0
19319,0.4922359428163347,0.0,0.0,0.0,0.0,1,0,0.0,0.09512705431031283,1,0.6361768715357641,1
19320,0.5662009702376242,0.35541805240316365,0.21490545451108925,0.415746407355026,0.5283208335737187,1,1,1.0,0.45276074518842124,1,0.9582236241905217,1
19321,0.4497595444717339,0.0,0.0,0.28379107299583456,0.33333333333333337,1,0,0.0,0.30267027667883084,1,0.8301359973380265,1
19322,0.6700664224847668,0.2242438242175754,0.3333333333333333,0.9169384186773442,0.5020451926206501,1,0,0.0,0.6421479058126559,1,0.9408989983757351,1
19323,0.6303627543705903,0.0,0.42061983571430495,0.43987789508016284,0.33333333333333337,1,0,0.0,0.3883398785773863,1,0.9655233192268757,1
19324,0.3093496891779671,0.35541805240316365,0.5517639119243014,0.28379107299583456,0.0,1,0,0.0,0.34941993674132543,1,0.9028356843297499,1
19325,0.9790114607412024,0.36318741775533636,0.3333333333333333,0.886352821821168,0.6666666666666667,1,0,0.0,0.3636093565106861,1,0.9790220997594602,1
19326,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.265999991763407,1,0.7099363580222838,1
19327,0.9937003307236124,0.5204139007425352,0.6982384630732349,0.7985534224258184,0.9357849740192014,1,0,0.0,0.680187341598177,1,0.9892891956077433,1
19328,0.47029495146467565,0.0,0.0,0.0,0.0,1,0,0.0,0.10314429758670181,1,0.679016527812663,1
19329,0.8657653854074805,0.5796618766207391,0.6416761742905388,0.8416242217443985,0.7388069747336172,1,0,0.0,0.619218814735568,1,0.96202771563725,1
19330,0.3959607318896728,0.63668576220675,0.5477585517770259,0.5675821459916692,0.33333333333333337,1,0,0.0,0.5710102175990879,1,0.8790151027482492,1
